品目コード,価格
30100,131
30200,142
30300,213
30400,403
30500,392
30600,614
31100,128
31300,300
31500,302
31560,315
31700,213
31800,536
31900,493
32500,493
32600,763
32800,459
33100,1777
33200,281
33300,851
33400,174
34100,328
34200,242
34300,401
34400,365
34450,533
34500,601
34600,1914
35400,616
35500,1746
36300,471
36610,123
36700,1204
37200,857
38100,1014
38300,484
38400,327
38500,472
