年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,1,6,水,アスパラガス,33100,,,2802,1870,21.2,102.4
2021,1,6,水,　　うち輸入,33101,,,2591,1800,25.0,109.1
2021,1,6,水,カリフラワー,33200,,,10573,201,20.0,82.4
2021,1,6,水,ブロッコリー,33300,,,76106,403,12.2,94.6
2021,1,6,水,　　うち輸入,33301,,,290,381,8.4,104.4
2021,1,6,水,レタス,33400,,,235512,205,15.3,93.2
2021,1,6,水,パセリ,33600,,,1596,1153,22.5,85.3
2021,1,6,水,きゅうり,34100,,,238302,319,15.8,90.9
2021,1,6,水,かぼちゃ,34200,,,114790,171,50.2,76.3
2021,1,6,水,　　うち輸入,34201,,,106690,154,68.3,92.8
2021,1,6,水,なす,34300,,,80457,369,13.3,94.6
2021,1,6,水,トマト,34400,,,232726,282,15.9,92.2
2021,1,6,水,ミニトマト,34450,,,108465,447,17.3,101.4
2021,1,6,水,ピーマン,34500,,,59553,447,18.7,101.1
2021,1,6,水,ししとう,34600,,,4655,989,33.7,79.2
2021,1,6,水,スイトコーン,34700,,,163,443,313.5,129.9
2021,1,6,水,さやいんげん,35100,,,6068,1049,18.0,97.8
2021,1,6,水,さやえんどう,35200,,,12477,1051,37.1,83.9
2021,1,6,水,　　うち輸入,35201,,,84,382,8.2,57.3
2021,1,6,水,実えんどう,35300,,,2918,765,76.5,110.2
2021,1,6,水,そらまめ,35400,,,3500,464,27.7,93.0
2021,1,6,水,かんしょ,36100,,,56898,311,22.8,109.5
2021,1,6,水,ばれいしょ,36200,,,572541,153,38.2,98.7
2021,1,6,水,さといも,36300,,,29482,328,61.4,96.2
2021,1,6,水,やまのいも,36500,,,113259,257,64.8,81.1
2021,1,6,水,たまねぎ,36610,,,876968,81,50.9,95.3
2021,1,6,水,　　うち輸入,36620,,,5855,110,18.4,105.8
2021,1,6,水,にんにく,36700,,,4944,534,21.2,72.2
2021,1,6,水,　　うち輸入,36701,,,4326,304,24.0,97.4
2021,1,6,水,しょうが,37200,,,8300,679,21.1,107.8
2021,1,6,水,　　うち輸入,37201,,,1995,398,20.8,103.1
2021,1,6,水,生しいたけ,38100,,,33579,1163,13.5,93.3
2021,1,6,水,　　うち輸入,38101,,,163,665,9.5,119.4
2021,1,6,水,なめこ,38300,,,6785,478,16.1,101.5
2021,1,6,水,えのきだけ,38400,,,100394,335,25.1,97.1
2021,1,6,水,しめじ,38500,,,34546,499,17.2,91.1
2021,1,6,水,その他の野菜,39000,,,90553,1099,16.1,82.6
2021,1,6,水,輸入野菜計,39100,,,172422,214,50.8,72.8
2021,1,6,水,他の輸入野菜,39200,,,50430,253,47.1,65.7
2021,1,7,木,野菜総量,30000,,,14371089,233,258.6,109.4
2021,1,7,木,だいこん,30100,,,1497589,98,270.9,115.3
2021,1,7,木,かぶ,30200,,,136859,148,311.8,121.3
2021,1,7,木,にんじん,30300,,,681108,137,302.8,108.7
2021,1,7,木,ごぼう,30400,,,77979,379,196.9,111.8
2021,1,7,木,たけのこ,30500,,,804,2364,903.4,99.9
2021,1,7,木,れんこん,30600,,,83590,488,353.7,88.2
2021,1,7,木,はくさい,31100,,,2056852,47,291.1,83.9
2021,1,7,木,みずな,31300,,,66807,456,311.3,83.2
2021,1,7,木,こまつな,31500,,,119041,438,314.5,99.5
2021,1,7,木,その他の菜類,31550,,,3732,486,346.8,123.0
2021,1,7,木,ちんげんさい,31560,,,42948,311,264.8,103.7
2021,1,7,木,キャベツ,31700,,,1635942,94,297.9,109.3
2021,1,7,木,ほうれんそう,31800,,,157321,740,394.8,95.0
2021,1,7,木,ねぎ,31900,,,480237,559,394.3,86.0
2021,1,7,木,ふき,32300,,,10342,325,290.8,107.6
2021,1,7,木,うど,32400,,,1805,575,3471.2,130.7
2021,1,7,木,みつば,32500,,,17432,914,212.3,90.8
2021,1,7,木,しゅんぎく,32600,,,34396,864,246.0,108.5
2021,1,7,木,にら,32800,,,54933,1161,271.9,100.4
2021,1,7,木,セルリー,32900,,,80650,176,580.5,98.3
2021,1,7,木,アスパラガス,33100,,,8768,1793,312.9,95.9
2021,1,7,木,　　うち輸入,33101,,,7600,1669,293.3,92.7
2021,1,7,木,カリフラワー,33200,,,40192,250,380.1,124.4
2021,1,7,木,ブロッコリー,33300,,,294527,413,387.0,102.5
2021,1,7,木,　　うち輸入,33301,,,1450,357,500.0,93.7
2021,1,7,木,レタス,33400,,,835953,223,355.0,108.8
2021,1,7,木,パセリ,33600,,,5110,1173,320.2,101.7
2021,1,7,木,きゅうり,34100,,,467093,338,196.0,106.0
2021,1,7,木,かぼちゃ,34200,,,238607,207,207.9,121.1
2021,1,7,木,　　うち輸入,34201,,,182055,161,170.6,104.5
2021,1,7,木,なす,34300,,,262976,390,326.9,105.7
2021,1,7,木,トマト,34400,,,873586,305,375.4,108.2
2021,1,7,木,ミニトマト,34450,,,304961,467,281.2,104.5
2021,1,7,木,ピーマン,34500,,,209675,501,352.1,112.1
2021,1,7,木,ししとう,34600,,,9824,1088,211.0,110.0
2021,1,7,木,スイトコーン,34700,,,180,450,110.4,101.6
2021,1,7,木,さやいんげん,35100,,,23154,1041,381.6,99.2
2021,1,7,木,さやえんどう,35200,,,34739,1081,278.4,102.9
2021,1,7,木,　　うち輸入,35201,,,806,623,959.5,163.1
2021,1,7,木,実えんどう,35300,,,4808,754,164.8,98.6
2021,1,7,木,そらまめ,35400,,,11086,531,316.7,114.4
2021,1,7,木,えだまめ,35500,,,254,2292,−,−
2021,1,7,木,かんしょ,36100,,,235992,308,414.8,99.0
2021,1,7,木,ばれいしょ,36200,,,879148,164,153.6,107.2
2021,1,7,木,さといも,36300,,,55046,337,186.7,102.7
2021,1,7,木,やまのいも,36500,,,121876,305,107.6,118.7
2021,1,7,木,たまねぎ,36610,,,1494356,90,170.4,111.1
2021,1,7,木,　　うち輸入,36620,,,19203,107,328.0,97.3
2021,1,7,木,にんにく,36700,,,15054,998,304.5,186.9
2021,1,7,木,　　うち輸入,36701,,,8950,337,206.9,110.9
2021,1,7,木,しょうが,37200,,,22461,647,270.6,95.3
2021,1,7,木,　　うち輸入,37201,,,6950,379,348.4,95.2
2021,1,7,木,生しいたけ,38100,,,79835,1152,237.8,99.1
2021,1,7,木,　　うち輸入,38101,,,1125,577,690.2,86.8
2021,1,7,木,なめこ,38300,,,25260,466,372.3,97.5
2021,1,7,木,えのきだけ,38400,,,182514,338,181.8,100.9
2021,1,7,木,しめじ,38500,,,89072,509,257.8,102.0
2021,1,7,木,その他の野菜,39000,,,304683,844,336.5,76.8
2021,1,7,木,輸入野菜計,39100,,,300869,265,174.5,123.8
2021,1,7,木,他の輸入野菜,39200,,,72733,389,144.2,153.8
2021,1,8,金,野菜総量,30000,,,13034824,222,90.7,95.3
2021,1,8,金,だいこん,30100,,,1364573,92,91.1,93.9
2021,1,8,金,かぶ,30200,,,112631,144,82.3,97.3
2021,1,8,金,にんじん,30300,,,602068,145,88.4,105.8
2021,1,8,金,ごぼう,30400,,,57202,379,73.4,100.0
2021,1,8,金,たけのこ,30500,,,1923,1553,239.2,65.7
2021,1,8,金,れんこん,30600,,,91560,487,109.5,99.8
2021,1,8,金,はくさい,31100,,,1945100,45,94.6,95.7
2021,1,8,金,みずな,31300,,,54319,444,81.3,97.4
2021,1,8,金,こまつな,31500,,,93466,442,78.5,100.9
2021,1,8,金,その他の菜類,31550,,,3854,388,103.3,79.8
2021,1,8,金,ちんげんさい,31560,,,33921,319,79.0,102.6
2021,1,8,金,キャベツ,31700,,,1484852,93,90.8,98.9
2021,1,8,金,ほうれんそう,31800,,,126736,706,80.6,95.4
2021,1,8,金,ねぎ,31900,,,402862,580,83.9,103.8
2021,1,8,金,ふき,32300,,,9826,322,95.0,99.1
2021,1,8,金,うど,32400,,,2498,580,138.4,100.9
2021,1,8,金,みつば,32500,,,17391,1655,99.8,181.1
2021,1,8,金,しゅんぎく,32600,,,31835,811,92.6,93.9
2021,1,8,金,にら,32800,,,56478,1171,102.8,100.9
2021,1,8,金,セルリー,32900,,,69689,169,86.4,96.0
2021,1,8,金,アスパラガス,33100,,,7288,1736,83.1,96.8
2021,1,8,金,　　うち輸入,33101,,,6590,1639,86.7,98.2
2021,1,8,金,カリフラワー,33200,,,29326,251,73.0,100.4
2021,1,8,金,ブロッコリー,33300,,,251338,410,85.3,99.3
2021,1,8,金,　　うち輸入,33301,,,9860,372,680.0,104.2
2021,1,8,金,レタス,33400,,,662079,221,79.2,99.1
2021,1,8,金,パセリ,33600,,,3848,1189,75.3,101.4
2021,1,8,金,きゅうり,34100,,,398341,344,85.3,101.8
2021,1,8,金,かぼちゃ,34200,,,300717,180,126.0,87.0
2021,1,8,金,　　うち輸入,34201,,,255990,155,140.6,96.3
2021,1,8,金,なす,34300,,,201038,405,76.4,103.8
2021,1,8,金,トマト,34400,,,472390,309,54.1,101.3
2021,1,8,金,ミニトマト,34450,,,189236,472,62.1,101.1
2021,1,8,金,ピーマン,34500,,,187851,514,89.6,102.6
2021,1,8,金,ししとう,34600,,,6329,1183,64.4,108.7
2021,1,8,金,スイトコーン,34700,,,230,392,127.8,87.1
2021,1,8,金,さやいんげん,35100,,,17229,1053,74.4,101.2
2021,1,8,金,さやえんどう,35200,,,26338,1029,75.8,95.2
2021,1,8,金,　　うち輸入,35201,,,1288,322,159.8,51.7
2021,1,8,金,実えんどう,35300,,,4116,782,85.6,103.7
2021,1,8,金,そらまめ,35400,,,11014,528,99.4,99.4
2021,1,8,金,えだまめ,35500,,,306,2426,120.5,105.8
2021,1,8,金,かんしょ,36100,,,271648,289,115.1,93.8
2021,1,8,金,ばれいしょ,36200,,,693960,168,78.9,102.4
2021,1,8,金,さといも,36300,,,62692,369,113.9,109.5
2021,1,8,金,やまのいも,36500,,,137129,315,112.5,103.3
2021,1,8,金,たまねぎ,36610,,,1888454,81,126.4,90.0
2021,1,8,金,　　うち輸入,36620,,,17294,109,90.1,101.9
2021,1,8,金,にんにく,36700,,,22991,1373,152.7,137.6
2021,1,8,金,　　うち輸入,36701,,,8161,291,91.2,86.4
2021,1,8,金,しょうが,37200,,,17986,689,80.1,106.5
2021,1,8,金,　　うち輸入,37201,,,4575,375,65.8,98.9
2021,1,8,金,生しいたけ,38100,,,74317,1101,93.1,95.6
2021,1,8,金,　　うち輸入,38101,,,1595,530,141.8,91.9
2021,1,8,金,なめこ,38300,,,27187,437,107.6,93.8
2021,1,8,金,えのきだけ,38400,,,178200,330,97.6,97.6
2021,1,8,金,しめじ,38500,,,85436,508,95.9,99.8
2021,1,8,金,その他の野菜,39000,,,243060,996,79.8,118.0
2021,1,8,金,輸入野菜計,39100,,,390635,231,129.8,87.2
2021,1,8,金,他の輸入野菜,39200,,,85283,341,117.3,87.7
2021,1,9,土,野菜総量,30000,,,14538373,234,111.5,105.4
2021,1,9,土,だいこん,30100,,,1548860,90,113.5,97.8
2021,1,9,土,かぶ,30200,,,116422,144,103.4,100.0
2021,1,9,土,にんじん,30300,,,921278,143,153.0,98.6
2021,1,9,土,ごぼう,30400,,,103970,371,181.8,97.9
2021,1,9,土,たけのこ,30500,,,1547,1341,80.4,86.3
2021,1,9,土,れんこん,30600,,,87524,479,95.6,98.4
2021,1,9,土,はくさい,31100,,,1989316,46,102.3,102.2
2021,1,9,土,みずな,31300,,,61204,429,112.7,96.6
2021,1,9,土,こまつな,31500,,,115278,467,123.3,105.7
2021,1,9,土,その他の菜類,31550,,,3714,409,96.4,105.4
2021,1,9,土,ちんげんさい,31560,,,40458,327,119.3,102.5
2021,1,9,土,キャベツ,31700,,,1852204,95,124.7,102.2
2021,1,9,土,ほうれんそう,31800,,,155044,684,122.3,96.9
2021,1,9,土,ねぎ,31900,,,535431,568,132.9,97.9
2021,1,9,土,ふき,32300,,,13083,294,133.1,91.3
2021,1,9,土,うど,32400,,,2681,541,107.3,93.3
2021,1,9,土,みつば,32500,,,15997,691,92.0,41.8
2021,1,9,土,しゅんぎく,32600,,,36395,778,114.3,95.9
2021,1,9,土,にら,32800,,,73727,1185,130.5,101.2
2021,1,9,土,セルリー,32900,,,74101,169,106.3,100.0
2021,1,9,土,アスパラガス,33100,,,8261,1739,113.4,100.2
2021,1,9,土,　　うち輸入,33101,,,7215,1616,109.5,98.6
2021,1,9,土,カリフラワー,33200,,,43603,267,148.7,106.4
2021,1,9,土,ブロッコリー,33300,,,280217,427,111.5,104.1
2021,1,9,土,　　うち輸入,33301,,,1550,364,15.7,97.8
2021,1,9,土,レタス,33400,,,773090,220,116.8,99.5
2021,1,9,土,パセリ,33600,,,5077,1157,131.9,97.3
2021,1,9,土,きゅうり,34100,,,386125,358,96.9,104.1
2021,1,9,土,かぼちゃ,34200,,,327961,194,109.1,107.8
2021,1,9,土,　　うち輸入,34201,,,256730,153,100.3,98.7
2021,1,9,土,なす,34300,,,181898,432,90.5,106.7
2021,1,9,土,トマト,34400,,,608180,305,128.7,98.7
2021,1,9,土,ミニトマト,34450,,,217516,497,114.9,105.3
2021,1,9,土,ピーマン,34500,,,205663,525,109.5,102.1
2021,1,9,土,ししとう,34600,,,8349,1139,131.9,96.3
2021,1,9,土,スイトコーン,34700,,,174,403,75.7,102.8
2021,1,9,土,さやいんげん,35100,,,18927,1104,109.9,104.8
2021,1,9,土,さやえんどう,35200,,,31033,1062,117.8,103.2
2021,1,9,土,　　うち輸入,35201,,,804,601,62.4,186.6
2021,1,9,土,実えんどう,35300,,,4841,757,117.6,96.8
2021,1,9,土,そらまめ,35400,,,12104,536,109.9,101.5
2021,1,9,土,えだまめ,35500,,,387,2336,126.5,96.3
2021,1,9,土,かんしょ,36100,,,431319,292,158.8,101.0
2021,1,9,土,ばれいしょ,36200,,,641725,176,92.5,104.8
2021,1,9,土,さといも,36300,,,80487,351,128.4,95.1
2021,1,9,土,やまのいも,36500,,,152999,307,111.6,97.5
2021,1,9,土,たまねぎ,36610,,,1516488,89,80.3,109.9
2021,1,9,土,　　うち輸入,36620,,,19011,106,109.9,97.2
2021,1,9,土,にんにく,36700,,,25119,1157,109.3,84.3
2021,1,9,土,　　うち輸入,36701,,,12871,359,157.7,123.4
2021,1,9,土,しょうが,37200,,,25257,698,140.4,101.3
2021,1,9,土,　　うち輸入,37201,,,6503,392,142.1,104.5
2021,1,9,土,生しいたけ,38100,,,90132,1139,121.3,103.5
2021,1,9,土,　　うち輸入,38101,,,1189,548,74.5,103.4
2021,1,9,土,なめこ,38300,,,30903,477,113.7,109.2
2021,1,9,土,えのきだけ,38400,,,236034,335,132.5,101.5
2021,1,9,土,しめじ,38500,,,130545,525,152.8,103.3
2021,1,9,土,その他の野菜,39000,,,315811,887,129.9,89.1
2021,1,9,土,輸入野菜計,39100,,,381139,235,97.6,101.7
2021,1,9,土,他の輸入野菜,39200,,,75266,372,88.3,109.1
2021,1,11,月,野菜総量,30000,,,237609,194,1.8,87.4
2021,1,11,月,だいこん,30100,,,26751,126,2.0,137.0
2021,1,11,月,かぶ,30200,,,48,498,0.0,345.8
2021,1,11,月,にんじん,30300,,,18042,178,3.0,122.8
2021,1,11,月,ごぼう,30400,,,190,339,0.3,89.4
2021,1,11,月,れんこん,30600,,,68,810,0.1,166.3
2021,1,11,月,はくさい,31100,,,42386,60,2.2,133.3
2021,1,11,月,みずな,31300,,,373,722,0.7,162.6
2021,1,11,月,こまつな,31500,,,1052,515,1.1,116.5
2021,1,11,月,その他の菜類,31550,,,344,599,8.9,154.4
2021,1,11,月,ちんげんさい,31560,,,385,665,1.1,208.5
2021,1,11,月,キャベツ,31700,,,35915,92,2.4,98.9
2021,1,11,月,ほうれんそう,31800,,,1819,733,1.4,103.8
2021,1,11,月,ねぎ,31900,,,893,1041,0.2,179.8
2021,1,11,月,みつば,32500,,,36,1076,0.2,65.0
2021,1,11,月,しゅんぎく,32600,,,149,690,0.5,85.1
2021,1,11,月,にら,32800,,,541,1648,1.0,140.7
2021,1,11,月,セルリー,32900,,,902,192,1.3,113.6
2021,1,11,月,カリフラワー,33200,,,180,307,0.6,122.3
2021,1,11,月,ブロッコリー,33300,,,615,336,0.2,82.0
2021,1,11,月,レタス,33400,,,21339,144,3.2,65.2
2021,1,11,月,パセリ,33600,,,92,1804,2.3,156.5
2021,1,11,月,きゅうり,34100,,,2375,496,0.6,144.2
2021,1,11,月,かぼちゃ,34200,,,1560,222,0.5,123.3
2021,1,11,月,　　うち輸入,34201,,,1450,208,0.6,134.2
2021,1,11,月,なす,34300,,,1037,356,0.5,87.9
2021,1,11,月,トマト,34400,,,5197,305,1.1,98.7
2021,1,11,月,ミニトマト,34450,,,2253,428,1.2,90.7
2021,1,11,月,ピーマン,34500,,,7282,596,3.9,116.0
2021,1,11,月,ししとう,34600,,,54,1431,0.9,121.0
2021,1,11,月,さやいんげん,35100,,,2065,937,12.0,89.0
2021,1,11,月,かんしょ,36100,,,1655,439,0.6,151.9
2021,1,11,月,ばれいしょ,36200,,,24710,213,3.6,126.8
2021,1,11,月,やまのいも,36500,,,100,443,0.1,140.6
2021,1,11,月,たまねぎ,36610,,,29390,105,1.6,129.6
2021,1,11,月,　　うち輸入,36620,,,2160,122,12.5,111.9
2021,1,11,月,にんにく,36700,,,355,680,1.5,49.1
2021,1,11,月,　　うち輸入,36701,,,325,473,4.0,162.5
2021,1,11,月,しょうが,37200,,,399,567,2.2,82.3
2021,1,11,月,　　うち輸入,37201,,,92,458,2.0,122.1
2021,1,11,月,生しいたけ,38100,,,101,2002,0.1,181.8
2021,1,11,月,なめこ,38300,,,25,781,0.1,178.7
2021,1,11,月,えのきだけ,38400,,,1200,466,0.7,141.2
2021,1,11,月,しめじ,38500,,,1080,581,1.3,114.4
2021,1,11,月,その他の野菜,39000,,,4653,749,1.9,75.2
2021,1,11,月,輸入野菜計,39100,,,10225,182,2.6,78.8
2021,1,11,月,他の輸入野菜,39200,,,6198,178,7.3,52.2
2021,1,12,火,野菜総量,30000,,,17405038,239,7325.1,123.2
2021,1,12,火,だいこん,30100,,,1439686,87,5381.8,69.0
2021,1,12,火,かぶ,30200,,,100497,156,******,31.3
2021,1,12,火,にんじん,30300,,,1242887,148,6888.9,83.1
2021,1,12,火,ごぼう,30400,,,98282,411,******,121.2
2021,1,12,火,たけのこ,30500,,,1702,1321,−,−
2021,1,12,火,れんこん,30600,,,76917,468,******,57.8
2021,1,12,火,はくさい,31100,,,2419980,47,5709.4,78.3
2021,1,12,火,みずな,31300,,,76010,406,******,56.2
2021,1,12,火,こまつな,31500,,,150486,462,******,89.7
2021,1,12,火,その他の菜類,31550,,,7149,403,2078.2,67.3
2021,1,12,火,ちんげんさい,31560,,,50506,341,******,51.3
2021,1,12,火,キャベツ,31700,,,1858036,95,5173.4,103.3
2021,1,12,火,ほうれんそう,31800,,,192925,637,******,86.9
2021,1,12,火,ねぎ,31900,,,620902,547,******,52.5
2021,1,12,火,ふき,32300,,,10793,286,−,−
2021,1,12,火,うど,32400,,,2816,612,−,−
2021,1,12,火,みつば,32500,,,14199,744,******,69.1
2021,1,12,火,しゅんぎく,32600,,,35754,737,******,106.8
2021,1,12,火,にら,32800,,,84410,1169,******,70.9
2021,1,12,火,セルリー,32900,,,72129,170,7996.6,88.5
2021,1,12,火,アスパラガス,33100,,,7459,1824,−,−
2021,1,12,火,　　うち輸入,33101,,,5956,1651,−,−
2021,1,12,火,カリフラワー,33200,,,25661,265,******,86.3
2021,1,12,火,ブロッコリー,33300,,,256216,458,******,136.3
2021,1,12,火,　　うち輸入,33301,,,1240,380,−,−
2021,1,12,火,レタス,33400,,,881962,210,4133.1,145.8
2021,1,12,火,パセリ,33600,,,4552,1077,4947.8,59.7
2021,1,12,火,きゅうり,34100,,,766236,378,******,76.2
2021,1,12,火,かぼちゃ,34200,,,326037,186,******,83.8
2021,1,12,火,　　うち輸入,34201,,,268918,154,******,74.0
2021,1,12,火,なす,34300,,,238700,439,******,123.3
2021,1,12,火,トマト,34400,,,973403,299,******,98.0
2021,1,12,火,ミニトマト,34450,,,335779,500,******,116.8
2021,1,12,火,ピーマン,34500,,,311579,545,4278.8,91.4
2021,1,12,火,ししとう,34600,,,10289,1052,******,73.5
2021,1,12,火,スイトコーン,34700,,,127,548,−,−
2021,1,12,火,さやいんげん,35100,,,17854,1159,864.6,123.7
2021,1,12,火,さやえんどう,35200,,,32073,1102,−,−
2021,1,12,火,　　うち輸入,35201,,,667,555,−,−
2021,1,12,火,実えんどう,35300,,,4857,721,−,−
2021,1,12,火,そらまめ,35400,,,15411,529,−,−
2021,1,12,火,えだまめ,35500,,,360,2439,−,−
2021,1,12,火,かんしょ,36100,,,593261,293,******,66.7
2021,1,12,火,ばれいしょ,36200,,,1082230,187,4379.7,87.8
2021,1,12,火,さといも,36300,,,76987,351,−,−
2021,1,12,火,やまのいも,36500,,,236220,311,******,70.2
2021,1,12,火,たまねぎ,36610,,,1727992,90,5879.5,85.7
2021,1,12,火,　　うち輸入,36620,,,19355,108,896.1,88.5
2021,1,12,火,にんにく,36700,,,14505,858,4085.9,126.2
2021,1,12,火,　　うち輸入,36701,,,10344,314,3182.8,66.4
2021,1,12,火,しょうが,37200,,,25748,697,6453.1,122.9
2021,1,12,火,　　うち輸入,37201,,,6106,385,6637.0,84.1
2021,1,12,火,生しいたけ,38100,,,126775,1120,******,55.9
2021,1,12,火,　　うち輸入,38101,,,1298,545,−,−
