年,月,日,曜日,品目名,品目コード,数量,価格
2021,1,8,金,ほうれんそう,31800,126736,706
2021,1,8,金,ねぎ,31900,402862,580
2021,1,8,金,みつば,32500,17391,1655
2021,1,8,金,しゅんぎく,32600,31835,811
2021,1,8,金,にら,32800,56478,1171
2021,1,8,金,アスパラガス,33100,7288,1736
2021,1,8,金,カリフラワー,33200,29326,251
2021,1,8,金,ブロッコリー,33300,251338,410
2021,1,8,金,レタス,33400,662079,221
2021,1,8,金,きゅうり,34100,398341,344
2021,1,8,金,かぼちゃ,34200,300717,180
2021,1,8,金,なす,34300,201038,405
2021,1,8,金,トマト,34400,472390,309
2021,1,8,金,ミニトマト,34450,189236,472
2021,1,8,金,ピーマン,34500,187851,514
2021,1,8,金,ししとう,34600,6329,1183
2021,1,8,金,そらまめ,35400,11014,528
2021,1,8,金,えだまめ,35500,306,2426
2021,1,8,金,さといも,36300,62692,369
2021,1,8,金,たまねぎ,36610,1888454,81
2021,1,8,金,にんにく,36700,22991,1373
2021,1,8,金,しょうが,37200,17986,689
2021,1,8,金,生しいたけ,38100,74317,1101
2021,1,8,金,なめこ,38300,27187,437
2021,1,8,金,えのきだけ,38400,178200,330
2021,1,8,金,しめじ,38500,85436,508
2021,1,9,土,だいこん,30100,1548860,90
2021,1,9,土,かぶ,30200,116422,144
2021,1,9,土,にんじん,30300,921278,143
2021,1,9,土,ごぼう,30400,103970,371
2021,1,9,土,たけのこ,30500,1547,1341
2021,1,9,土,れんこん,30600,87524,479
2021,1,9,土,はくさい,31100,1989316,46
2021,1,9,土,みずな,31300,61204,429
2021,1,9,土,こまつな,31500,115278,467
2021,1,9,土,ちんげんさい,31560,40458,327
2021,1,9,土,キャベツ,31700,1852204,95
2021,1,9,土,ほうれんそう,31800,155044,684
2021,1,9,土,ねぎ,31900,535431,568
2021,1,9,土,みつば,32500,15997,691
2021,1,9,土,しゅんぎく,32600,36395,778
2021,1,9,土,にら,32800,73727,1185
2021,1,9,土,アスパラガス,33100,8261,1739
2021,1,9,土,カリフラワー,33200,43603,267
2021,1,9,土,ブロッコリー,33300,280217,427
2021,1,9,土,レタス,33400,773090,220
2021,1,9,土,きゅうり,34100,386125,358
2021,1,9,土,かぼちゃ,34200,327961,194
2021,1,9,土,なす,34300,181898,432
2021,1,9,土,トマト,34400,608180,305
2021,1,9,土,ミニトマト,34450,217516,497
2021,1,9,土,ピーマン,34500,205663,525
2021,1,9,土,ししとう,34600,8349,1139
2021,1,9,土,そらまめ,35400,12104,536
2021,1,9,土,えだまめ,35500,387,2336
2021,1,9,土,さといも,36300,80487,351
2021,1,9,土,たまねぎ,36610,1516488,89
2021,1,9,土,にんにく,36700,25119,1157
2021,1,9,土,しょうが,37200,25257,698
2021,1,9,土,生しいたけ,38100,90132,1139
2021,1,9,土,なめこ,38300,30903,477
2021,1,9,土,えのきだけ,38400,236034,335
2021,1,9,土,しめじ,38500,130545,525
2021,1,11,月,だいこん,30100,26751,126
2021,1,11,月,かぶ,30200,48,498
2021,1,11,月,にんじん,30300,18042,178
2021,1,11,月,ごぼう,30400,190,339
2021,1,11,月,れんこん,30600,68,810
2021,1,11,月,はくさい,31100,42386,60
2021,1,11,月,みずな,31300,373,722
2021,1,11,月,こまつな,31500,1052,515
2021,1,11,月,ちんげんさい,31560,385,665
2021,1,11,月,キャベツ,31700,35915,92
