品目コード,品目名
30100,だいこん
30200,かぶ
30300,にんじん
30400,ごぼう
30500,たけのこ
30600,れんこん
31100,はくさい
31300,みずな
31500,こまつな
31560,ちんげんさい
31700,キャベツ
31800,ほうれんそう
31900,ねぎ
32500,みつば
32600,しゅんぎく
32800,にら
33100,アスパラガス
33200,カリフラワー
33300,ブロッコリー
33400,レタス
34100,きゅうり
34200,かぼちゃ
34300,なす
34400,トマト
34450,ミニトマト
34500,ピーマン
34600,ししとう
35400,そらまめ
35500,えだまめ
36300,さといも
36610,たまねぎ
36700,にんにく
37200,しょうが
38100,生しいたけ
38300,なめこ
38400,えのきだけ
38500,しめじ
