年,月,日,曜日,品目名,品目コード,数量,価格
2021,1,14,木,輸入メロン,50850,2392,277
2021,1,15,金,みかん,40100,1362268,235
2021,1,15,金,はっさく,41321,70787,210
2021,1,15,金,りんご計,42000,711716,306
2021,1,15,金,かき計,43500,19537,445
2021,1,15,金,ぶどう計,45000,13843,1922
2021,1,15,金,いちご,46100,222136,1515
2021,1,15,金,メロン計,47000,30733,726
2021,1,15,金,すいか,48100,8490,338
2021,1,15,金,キウイフルツ,49300,70126,546
2021,1,15,金,バナナ,50100,535303,144
2021,1,15,金,パイナップル,50300,95986,145
2021,1,15,金,レモン,50400,25868,304
2021,1,15,金,オレンジ,50600,18524,232
2021,1,15,金,輸入おうとう,50700,110,584
2021,1,15,金,輸入キウイ,50800,22697,522
2021,1,15,金,輸入メロン,50850,2906,283
2021,1,16,土,みかん,40100,1564364,246
2021,1,16,土,はっさく,41321,56667,212
2021,1,16,土,りんご計,42000,800320,317
2021,1,16,土,かき計,43500,69493,448
2021,1,16,土,ぶどう計,45000,9709,1892
2021,1,16,土,いちご,46100,286720,1520
2021,1,16,土,メロン計,47000,35395,695
2021,1,16,土,すいか,48100,13238,264
2021,1,16,土,キウイフルツ,49300,68369,541
2021,1,16,土,バナナ,50100,350305,145
2021,1,16,土,パイナップル,50300,64674,144
2021,1,16,土,レモン,50400,24412,312
2021,1,16,土,オレンジ,50600,43417,216
2021,1,16,土,輸入キウイ,50800,33451,417
2021,1,16,土,輸入メロン,50850,3625,266
2021,1,18,月,みかん,40100,1395181,244
2021,1,18,月,はっさく,41321,123902,206
2021,1,18,月,りんご計,42000,851482,297
2021,1,18,月,日本なし計,43000,5620,384
2021,1,18,月,かき計,43500,19795,428
2021,1,18,月,ぶどう計,45000,10264,2118
2021,1,18,月,いちご,46100,451732,1501
2021,1,18,月,メロン計,47000,39176,697
2021,1,18,月,すいか,48100,3977,316
2021,1,18,月,キウイフルツ,49300,107794,542
2021,1,18,月,バナナ,50100,535693,141
2021,1,18,月,パイナップル,50300,42448,164
2021,1,18,月,レモン,50400,10936,359
2021,1,18,月,オレンジ,50600,22746,233
2021,1,18,月,輸入キウイ,50800,18914,426
2021,1,18,月,輸入メロン,50850,3276,258
2021,1,19,火,みかん,40100,1318937,232
2021,1,19,火,はっさく,41321,60983,215
2021,1,19,火,りんご計,42000,680324,301
2021,1,19,火,日本なし計,43000,1286,539
2021,1,19,火,かき計,43500,53213,444
2021,1,19,火,おうとう,44800,4,7155
2021,1,19,火,ぶどう計,45000,11204,1517
2021,1,19,火,いちご,46100,332696,1506
2021,1,19,火,メロン計,47000,27357,776
2021,1,19,火,すいか,48100,7255,274
2021,1,19,火,キウイフルツ,49300,71131,561
2021,1,19,火,バナナ,50100,309060,160
2021,1,19,火,パイナップル,50300,46931,167
2021,1,19,火,レモン,50400,19570,309
2021,1,19,火,オレンジ,50600,13873,241
2021,1,19,火,輸入おうとう,50700,45,2160
2021,1,19,火,輸入キウイ,50800,14492,433
2021,1,19,火,輸入メロン,50850,5432,247
2021,1,21,木,みかん,40100,1732406,248
2021,1,21,木,はっさく,41321,118301,199
2021,1,21,木,りんご計,42000,866289,310
2021,1,21,木,日本なし計,43000,580,337
2021,1,21,木,かき計,43500,78194,434
2021,1,21,木,おうとう,44800,16,16639
2021,1,21,木,ぶどう計,45000,11324,1981
2021,1,21,木,いちご,46100,494565,1492
2021,1,21,木,メロン計,47000,54245,699
2021,1,21,木,すいか,48100,2590,352
2021,1,21,木,キウイフルツ,49300,121553,551
2021,1,21,木,バナナ,50100,505863,156
2021,1,21,木,パイナップル,50300,68351,157
2021,1,21,木,レモン,50400,16421,356
2021,1,21,木,オレンジ,50600,23366,225
2021,1,21,木,輸入おうとう,50700,25,2160
2021,1,21,木,輸入キウイ,50800,26441,423
2021,1,21,木,輸入メロン,50850,3820,266
2021,1,22,金,みかん,40100,1220972,237
2021,1,22,金,はっさく,41321,60566,216
2021,1,22,金,りんご計,42000,750917,297
2021,1,22,金,日本なし計,43000,215,459
2021,1,22,金,かき計,43500,24890,460
2021,1,22,金,ぶどう計,45000,9002,1071
2021,1,22,金,いちご,46100,298667,1481
2021,1,22,金,メロン計,47000,41963,708
2021,1,22,金,すいか,48100,10397,273
2021,1,22,金,キウイフルツ,49300,125418,487
2021,1,22,金,バナナ,50100,444802,148
2021,1,22,金,パイナップル,50300,76295,140
2021,1,22,金,レモン,50400,13115,326
2021,1,22,金,オレンジ,50600,40689,216
2021,1,22,金,輸入キウイ,50800,18721,378
2021,1,22,金,輸入メロン,50850,2384,239
2021,1,23,土,みかん,40100,1263734,239
2021,1,23,土,はっさく,41321,80558,189
2021,1,23,土,りんご計,42000,764753,298
2021,1,23,土,日本なし計,43000,27044,268
2021,1,23,土,かき計,43500,53768,459
2021,1,23,土,おうとう,44800,12,21222
2021,1,23,土,ぶどう計,45000,7039,1668
2021,1,23,土,いちご,46100,350136,1473
2021,1,23,土,メロン計,47000,41022,678
2021,1,23,土,すいか,48100,12723,280
2021,1,23,土,キウイフルツ,49300,81562,525
2021,1,23,土,バナナ,50100,493773,159
2021,1,23,土,パイナップル,50300,63575,158
2021,1,23,土,レモン,50400,32120,328
2021,1,23,土,オレンジ,50600,31745,229
2021,1,23,土,輸入キウイ,50800,27777,470
2021,1,23,土,輸入メロン,50850,3060,222
2021,1,25,月,みかん,40100,1238571,260
2021,1,25,月,はっさく,41321,160832,197
2021,1,25,月,りんご計,42000,838392,294
2021,1,25,月,日本なし計,43000,5935,383
2021,1,25,月,かき計,43500,19199,454
2021,1,25,月,おうとう,44800,13,22240
2021,1,25,月,ぶどう計,45000,8515,1420
2021,1,25,月,いちご,46100,501836,1454
2021,1,25,月,メロン計,47000,36100,664
2021,1,25,月,すいか,48100,7400,318
2021,1,25,月,キウイフルツ,49300,96011,540
2021,1,25,月,バナナ,50100,464077,152
2021,1,25,月,パイナップル,50300,66652,139
2021,1,25,月,レモン,50400,15533,326
2021,1,25,月,オレンジ,50600,20952,219
2021,1,25,月,輸入おうとう,50700,65,2147
2021,1,25,月,輸入キウイ,50800,16016,405
2021,1,25,月,輸入メロン,50850,5342,248
2021,1,26,火,みかん,40100,1198812,245
2021,1,26,火,はっさく,41321,95182,204
2021,1,26,火,りんご計,42000,758861,300
2021,1,26,火,日本なし計,43000,513,275
2021,1,26,火,かき計,43500,30980,460
2021,1,26,火,おうとう,44800,14,20157
2021,1,26,火,ぶどう計,45000,11860,1091
2021,1,26,火,いちご,46100,314227,1467
2021,1,26,火,メロン計,47000,20132,746
2021,1,26,火,すいか,48100,13944,282
2021,1,26,火,キウイフルツ,49300,103045,538
2021,1,26,火,バナナ,50100,334398,154
2021,1,26,火,パイナップル,50300,51408,151
2021,1,26,火,レモン,50400,23257,286
2021,1,26,火,オレンジ,50600,60923,205
2021,1,26,火,輸入おうとう,50700,9,2160
2021,1,26,火,輸入キウイ,50800,15567,373
2021,1,26,火,輸入メロン,50850,4862,263
2021,1,28,木,みかん,40100,1515033,263
2021,1,28,木,はっさく,41321,104356,188
2021,1,28,木,りんご計,42000,1084859,294
2021,1,28,木,日本なし計,43000,280,266
2021,1,28,木,かき計,43500,51555,462
2021,1,28,木,びわ,43900,10,7992
2021,1,28,木,おうとう,44800,6,17928
2021,1,28,木,ぶどう計,45000,9275,1417
2021,1,28,木,いちご,46100,485928,1459
2021,1,28,木,メロン計,47000,42621,648
2021,1,28,木,すいか,48100,4266,348
2021,1,28,木,キウイフルツ,49300,131284,534
2021,1,28,木,バナナ,50100,529298,161
2021,1,28,木,パイナップル,50300,65175,154
2021,1,28,木,レモン,50400,28293,310
2021,1,28,木,オレンジ,50600,30592,266
2021,1,28,木,輸入おうとう,50700,35,2469
2021,1,28,木,輸入キウイ,50800,25781,442
2021,1,28,木,輸入メロン,50850,9638,199
2021,1,29,金,みかん,40100,1117282,253
2021,1,29,金,はっさく,41321,86863,195
2021,1,29,金,りんご計,42000,924650,307
2021,1,29,金,日本なし計,43000,40,594
2021,1,29,金,かき計,43500,13660,417
